id,tissue
SRR13506051,heart
SRR13506052,heart
SRR13506053,heart
SRR13506054,heart
SRR13506055,heart
SRR13506056,heart
SRR13506057,heart
SRR13506058,heart
SRR13506059,heart
SRR13506060,heart
SRR13506061,heart
SRR13506062,heart
SRR13506063,heart
SRR13506064,heart
SRR13506065,heart
SRR13506066,heart
SRR13506067,heart
SRR13506068,heart
SRR13506069,heart
SRR13506070,heart
SRR13506071,heart
SRR13506072,heart
SRR13506073,heart
SRR13506074,heart
SRR13506075,heart
SRR13506076,heart
SRR13506077,heart
SRR13506078,heart
SRR13506079,heart
SRR13506080,heart
SRR13506081,heart
SRR13506082,heart
SRR13506083,heart
SRR13506084,heart
SRR13506085,heart
SRR13506086,heart
SRR13506087,heart
SRR13506088,heart
SRR13506089,heart
SRR13506090,heart
SRR13506091,heart
SRR13506092,heart
SRR13506093,heart
SRR13506094,heart
SRR13506095,heart
SRR13506096,heart
SRR13506097,heart
SRR13506098,heart
SRR13506099,heart
SRR13506100,heart
SRR13506101,heart
SRR13506102,heart
SRR13506103,heart
SRR13506104,heart
SRR13506105,heart
SRR13506106,heart
SRR13506107,heart
SRR13506108,heart
SRR13506110,heart
SRR13506111,heart
SRR13506112,heart
SRR13506113,heart
SRR13506114,heart
SRR13506115,heart
SRR13506116,heart
SRR13506117,heart
SRR13506118,heart
SRR13506119,heart
SRR13506120,heart
SRR13506121,heart
SRR13506122,heart
SRR13506123,heart
SRR13506124,heart
SRR13506125,heart
SRR13506126,heart
SRR13506127,heart
SRR13506128,heart
SRR13506129,heart
SRR13506130,heart
SRR13506132,heart
SRR13506133,heart
SRR13506134,heart
SRR13506135,heart
SRR13506136,heart
SRR13506137,heart
SRR13506138,heart
SRR13506139,heart
SRR13506140,heart
SRR13506141,heart
SRR13506142,heart
SRR13506143,heart
SRR13506144,heart
SRR13506145,heart
SRR13506146,heart
SRR13506147,heart
SRR13506148,heart
SRR13506149,heart
ipiPD1_1_EDT,melanoma
ipiPD1_1_PRE,melanoma
ipiPD1_10_PRE,melanoma
ipiPD1_12_PRE,melanoma
ipiPD1_13_EDT,melanoma
ipiPD1_13_PRE,melanoma
