,brain ,brain opioid,brain alzheimer,brain fetal,brain frontal cortex,brain parietal cortex,brain occipital cortex,brain striatum,brain stem,brain cerebellum,esophagus,stomach,small intestine,duodenum,jejunum colon,ileum colon,colon,proximal colon,distal colon,liver,pancreas,kidney,bladder,breast,ovary,fallopian tube,uterus,cervix,placenta,prostate,testicle,heart,pericardium,right atrium heart,left atruim,right ventricle heart,left ventricle heart,vena cava,trachea,lung,thymus,spleen,lymph node,thyroid,adrenal,adipose,skeletal muscle,"melanoma (not included in min, max, median, mean)"
F4,0.072,0.021,0.058,0.018,0,0.025,0.072,0.012,0.562,0.09,17.642,0.596,0.146,0.025,0,0.059,0,0.19,0.005,0.226,0.006,0.639,0.732,0,0.301,1.082,0.02,3.728,7.694,0,0.67,0.364,0.642,0.595,0.545,0.133,0.26,0.171,1.163,0.458,0.026,0,0.009,0.032,1.077,0.02,0.095,2.19
F5,10.673,6.595,15.326,2.946,7.954,6.725,11.181,9.829,3.401,3.102,15.084,4.019,13.437,13.008,44.782,16.731,8.333,33.326,27.556,6.974,5.176,88.128,29.229,69.493,10.469,12.529,24.1,15.532,22.623,16.053,5.621,46.714,57.805,55.571,48.077,50.787,111.629,29.526,16.618,194.537,10.6,43.73,7.064,48.96,25.093,62.742,12.458,15.992
G1,25.673,127.201,116.586,26.685,28.541,27.747,23.929,34.551,21.259,17.102,11.191,9.81,11.529,14.756,3.394,8.126,6.568,5.747,3.096,0.834,14.418,170.584,11.715,20.486,1.014,20.073,6.207,7.689,37.491,17.922,42.699,5.647,14.882,3.616,5.427,7.69,18.593,6.574,26.95,8.473,9.528,1.125,0.414,20.968,7.2,11.418,2.936,209.779
G2,0.546,0.235,0.772,7.594,0.131,0.142,0.431,0.188,0.228,0.087,2.016,2.562,0.953,2.682,2.304,0.866,0.935,1.383,1.289,1.147,0.613,1.517,2.079,4.778,1.272,19.035,1.019,2.125,1.437,1.641,41.636,1.247,10.361,1.885,2.038,1.416,2.563,2.364,2.333,1.022,4.53,5.485,1.6,5.052,0.378,4.933,0.119,3.632
G3,0.022,0.004,0.39,0.015,0,0,0.012,0.012,0.016,0,0.193,0.28,1.165,0.197,1.276,0.298,0.295,0.181,0.323,0.041,0.017,0.118,3.525,0.141,0.027,0.293,0.041,0.035,0.022,0.099,0.127,0.258,0.557,0,0.044,0,0.309,1.411,6.088,4.023,0.199,25.037,0,0.288,0.005,0.549,0.013,0.302
G4,0.041,0.003,0.015,0,0,0,0.008,0.013,0.011,0,0.072,0.071,2.597,3.546,0.589,4.896,8.984,0.552,0.262,0.007,0.006,0.035,0.905,0.158,2.689,1.86,4.526,4.504,0.14,0.163,0.314,0.031,0.327,0.279,0.158,0.019,0.011,0.74,0.838,0.154,0.084,0.024,0.009,0.015,0.032,0.424,0.036,0.075
G5,0.071,0.096,0.358,0.176,0.188,0.008,0.004,0.053,0.473,0.448,0.199,0.317,0.714,1.689,0.43,1.233,2.347,0.411,0.528,0.303,0.021,0.589,0.621,0.171,0.043,0.494,0.08,0.09,0.015,0.414,0.53,0.024,0.109,0,0,0.096,0,0.308,0.657,0.316,1.264,3.162,2.486,0.052,0.02,0.011,0.007,0.943
G6,0.9,0.485,1.53,4.457,0.768,0.377,0.641,0.666,0.365,0.334,12.352,3.64,27.754,34.672,35.929,17.937,53.668,18.111,11.204,46.48,2.287,8.505,13.883,3.275,3.813,11.965,2.514,7.705,161.772,15.678,3.639,2.271,9.698,19.73,7.822,5.238,0.653,9.934,9.627,17.314,5.533,15.434,0.893,2.814,2.003,5.113,0.892,18.485
G7,3.196,4.355,8.367,2.594,3.391,0.814,3.452,1.473,2.055,0.863,3.589,3.144,21.069,7.216,5.177,17.148,52.305,4.464,3.328,13.99,1.517,6.181,3.617,3.618,6.694,5.729,3.273,7.135,7.566,3.379,4.875,8.878,4.18,6.043,5.396,4.924,5.108,4.442,3.288,5.201,2.971,5.31,1.036,5.596,1.565,4.739,4.041,3.421
L1,58.72,190.83,71.368,40.566,60.586,38.042,41.886,50.42,29.626,19.244,4.402,3.709,9.132,6.858,7.062,6.772,7.161,8.932,7.108,1.754,1.838,24.95,6.993,3.953,5.975,8.461,8.123,18.711,2.32,7.499,12.069,2.93,4.684,5.121,6.317,4.686,2.601,7.475,7.18,5.87,12.343,6.34,2.608,5.121,4.39,6.141,0.535,9.701
